,Title,Rewatch,Watched Date
0,Incredibles 2,,2018-06-16
1,First Reformed,Yes,2018-06-19
2,Carol,,2018-06-21
3,Won't You Be My Neighbor?,,2018-06-22
4,The Intern,Yes,2018-06-25
5,Night of the Living Dead,,2018-06-26
6,Before Sunset,Yes,2018-06-26
7,Rio Bravo,,2018-06-27
8,Eraserhead,,2018-06-28
9,Jaws,Yes,2018-06-28
10,Au Hasard Balthazar,,2018-06-29
11,Zodiac,,2018-06-30
12,The Hateful Eight,,2018-07-01
13,Sicario,Yes,2018-07-01
14,Vertigo,,2018-07-02
15,Rear Window,,2018-07-02
16,Moneyball,Yes,2018-07-03
17,Boogie Nights,,2018-07-04
18,M,,2018-07-06
19,Stalker,,2018-07-06
20,Annie Hall,,2018-07-07
21,Wanted,,2018-07-07
22,Casablanca,Yes,2018-07-07
23,Dogtooth,,2018-07-08
24,Solaris,,2018-07-08
25,Blue Velvet,Yes,2018-07-09
26,Sorry to Bother You,,2018-07-14
27,Won't You Be My Neighbor?,Yes,2018-07-15
28,Young Frankenstein,Yes,2018-07-16
29,Four Weddings and a Funeral,,2018-07-17
30,The Lobster,,2018-07-18
31,Blazing Saddles,Yes,2018-07-23
32,The Killing of a Sacred Deer,,2018-07-24
33,Baby Face,,2018-07-25
34,Monty Python and the Holy Grail,Yes,2018-07-25
35,The House of the Devil,,2018-07-26
36,Take Shelter,,2018-07-27
37,Once,,2018-07-27
38,Unforgiven,Yes,2018-07-28
39,Mission: Impossible - Fallout,,2018-07-28
40,Mission: Impossible - Rogue Nation,Yes,2018-07-29
41,Mission: Impossible - Fallout,Yes,2018-07-30
42,Beetlejuice,Yes,2018-08-03
43,Eighth Grade,,2018-08-05
44,His Girl Friday,,2018-08-09
45,Her,Yes,2018-08-11
46,BlacKkKlansman,,2018-08-11
47,Phenomenon,,2018-08-12
48,Out of Sight,,2018-08-13
49,Under the Skin,,2018-08-14
50,BlacKkKlansman,Yes,2018-08-14
51,Locke,,2018-08-14
52,Dave,Yes,2018-08-17
53,The Accidental Tourist,,2018-08-19
