Position,Name,Year,URL,Description
1,12 Angry Men,1957,https://boxd.it/2auI,#591
2,12 Years a Slave,2013,https://boxd.it/2D2e,
3,1917,2019,https://boxd.it/jj4y,
4,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
5,The 39 Steps,1935,https://boxd.it/2aKc,#56
6,"4 Months, 3 Weeks and 2 Days",2007,https://boxd.it/27DW,#958
7,8½,1963,https://boxd.it/2aqm,#140
8,Ace in the Hole,1951,https://boxd.it/1vXk,#396
9,Ad Astra,2019,https://boxd.it/ePzI,
10,After the Rehearsal,1984,https://boxd.it/XLO,
11,The Age of Innocence,1993,https://boxd.it/1WgM,#913
12,Agnès Varda: From Here to There,2011,https://boxd.it/6AG4,
13,Alien,1979,https://boxd.it/2awY,
14,All That Jazz,1979,https://boxd.it/1JB8,#724
15,All These Women,1964,https://boxd.it/3kGG,
16,American Beauty,1999,https://boxd.it/71Y,
17,American Hustle,2013,https://boxd.it/5dz8,
18,American Sniper,2014,https://boxd.it/5LDy,
19,Amélie,2001,https://boxd.it/2aUc,
20,Anatomy of a Murder,1959,https://boxd.it/2baa,#600
21,Andrei Rublev,1966,https://boxd.it/29lg,#34
22,Animal House,1978,https://boxd.it/2062,
23,Antichrist,2009,https://boxd.it/1Inu,#542
24,Aparajito,1956,https://boxd.it/29kW,#784
25,Apocalypse Now,1979,https://boxd.it/6ZS,
26,Apollo 13,1995,https://boxd.it/2a6G,
27,Aquaman,2018,https://boxd.it/9ru0,
28,Arrival,2016,https://boxd.it/aNGk,
29,The Artist,2011,https://boxd.it/2AwK,
30,The Ascent,1977,https://boxd.it/Eew,#1063
31,Autumn Sonata,1978,https://boxd.it/1Rio,#60 : Bergman Box
32,Avatar,2009,https://boxd.it/1Efm,
33,The Avengers,2012,https://boxd.it/1xFW,
34,The Aviator,2004,https://boxd.it/26BU,
35,Babette's Feast,1987,https://boxd.it/1SYU,#665
36,Barry Lyndon,1975,https://boxd.it/25A2,#897
37,Batman,1989,https://boxd.it/2aIU,
38,The Batman,2022,https://boxd.it/eDGs,
39,The Beaches of Agnès,2008,https://boxd.it/14Y6,
40,Beetlejuice,1988,https://boxd.it/24QI,
41,Before Midnight,2013,https://boxd.it/4ive,#856
42,Before Sunrise,1995,https://boxd.it/2bcU,#856
43,Before Sunset,2004,https://boxd.it/2bcg,#856
44,Being There,1979,https://boxd.it/1WxS,
45,The Big City,1963,https://boxd.it/fI2,#668
46,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
47,The Birds,1963,https://boxd.it/2a6m,
48,Black Panthers,1968,https://boxd.it/4BCe,
49,The Black Stallion,1979,https://boxd.it/1IUy,#765
50,Blade Runner,1982,https://boxd.it/2bcA,
51,Blade Runner 2049,2017,https://boxd.it/b8wK,
52,Blow Out,1981,https://boxd.it/1TlE,#562
53,Blue Velvet,1986,https://boxd.it/29BI,#977
54,The Bourne Identity,2002,https://boxd.it/26EO,
55,The Bourne Supremacy,2004,https://boxd.it/26EE,
56,The Bourne Ultimatum,2007,https://boxd.it/26Eu,
57,Braveheart,1995,https://boxd.it/2aTI,
58,Brief Encounter,1945,https://boxd.it/29sm,#76
59,A Brighter Summer Day,1991,https://boxd.it/1Luy,#804
60,Brink of Life,1958,https://boxd.it/eXg,
61,Broadcast News,1987,https://boxd.it/1RxS,#552
62,The Cameraman,1928,https://boxd.it/1jag,#1033
63,Carnival of Souls,1962,https://boxd.it/1KQ4,#63
64,Casablanca,1942,https://boxd.it/2aG0,
65,Casino Royale,2006,https://boxd.it/1alk,
66,Certified Copy,2010,https://boxd.it/IMW,#612
67,Cinema Paradiso,1988,https://boxd.it/1UlA,
68,Citizen Kane,1941,https://boxd.it/71O,#1104
69,Close Encounters of the Third Kind,1977,https://boxd.it/29u8,
70,Cléo from 5 to 7,1962,https://boxd.it/2agm,#73: Varda Box
71,Cold Mountain,2003,https://boxd.it/270A,
72,Come and See,1985,https://boxd.it/1w9q,#1035
73,Constantine,2005,https://boxd.it/2a7E,
74,Crash,1996,https://boxd.it/29n2,#1059
75,The Creatures,1966,https://boxd.it/xxQ,
76,The Cremator,1969,https://boxd.it/1H8y,#1023
77,Cries and Whispers,1972,https://boxd.it/1WK8,#101: Bergman Box
78,Crisis,1946,https://boxd.it/1kGs,
79,Céline and Julie Go Boating,1974,https://boxd.it/1sGA,#1069
80,Daguerréotypes,1975,https://boxd.it/FxY,
81,The Dark Knight,2008,https://boxd.it/2b0k,
82,The Dark Knight Rises,2012,https://boxd.it/H3m,
83,Days of Heaven,1978,https://boxd.it/1JRg,#409
84,Dazed and Confused,1993,https://boxd.it/1Ylk,#336
85,Deep Cover,1992,https://boxd.it/1D5g,#1086
86,Dekalog,1989,https://boxd.it/bv4u,#837
87,The Departed,2006,https://boxd.it/28MA,
88,The Devil's Eye,1960,https://boxd.it/JaO,
89,Die Hard,1988,https://boxd.it/2a7u,
90,Dinosaur,2000,https://boxd.it/1VWi,
91,Django Unchained,2012,https://boxd.it/2cCk,
92,Do the Right Thing,1989,https://boxd.it/29gA,#97
93,Documenteur,1981,https://boxd.it/4VAs,
