Date,Name,Year,Letterboxd URI,Rating
2018-05-20,American Beauty,1999,https://boxd.it/71Y,5
2018-05-20,Fight Club,1999,https://boxd.it/2a9q,5
2018-05-20,Drive,2011,https://boxd.it/IG,5
2018-05-20,The Social Network,2010,https://boxd.it/17ue,5
2018-05-20,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,5
2018-05-20,The Empire Strikes Back,1980,https://boxd.it/27Vw,5
2018-05-20,Star Wars,1977,https://boxd.it/72s,4.5
2018-05-20,The Godfather,1972,https://boxd.it/2aNK,5
2018-05-20,The Godfather: Part II,1974,https://boxd.it/2aNq,4.5
2018-05-20,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4.5
2018-05-20,Her,2013,https://boxd.it/4O24,5
2018-05-20,Midnight Run,1988,https://boxd.it/1ZnQ,4.5
2018-05-20,Butch Cassidy and the Sundance Kid,1969,https://boxd.it/29Vy,4.5
2018-05-20,12 Years a Slave,2013,https://boxd.it/2D2e,5
2018-05-20,The Truman Show,1998,https://boxd.it/18U8,4.5
2018-05-20,L.A. Confidential,1997,https://boxd.it/27oC,4.5
2018-05-20,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2018-05-20,The Big Sick,2017,https://boxd.it/eHvy,4
2018-05-20,The Star Wars Holiday Special,1978,https://boxd.it/2yMw,0.5
2018-05-20,The Neon Demon,2016,https://boxd.it/9AnW,3.5
2018-05-20,Skyfall,2012,https://boxd.it/17Fc,4
2018-05-20,28 Days Later,2002,https://boxd.it/2aXU,4
2018-05-20,The Matrix,1999,https://boxd.it/2a1m,4.5
2018-05-20,V for Vendetta,2005,https://boxd.it/29Ik,3.5
2018-05-20,Lawrence of Arabia,1962,https://boxd.it/2wRE,4.5
2018-05-20,The Shining,1980,https://boxd.it/29Nu,5
2018-05-20,Jaws,1975,https://boxd.it/2a5e,5
2018-05-20,Chinatown,1974,https://boxd.it/29vU,4.5
2018-05-20,Back to the Future,1985,https://boxd.it/2b8e,4.5
2018-05-20,Isle of Dogs,2018,https://boxd.it/dZrW,4.5
2018-05-20,The Sting,1973,https://boxd.it/1Z5s,4.5
2018-05-20,Caddyshack,1980,https://boxd.it/1SCO,4
2018-05-20,Moonlight,2016,https://boxd.it/d6bE,4
2018-05-20,La La Land,2016,https://boxd.it/a5fa,4.5
2018-05-20,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG,3.5
2018-05-20,Blade Runner 2049,2017,https://boxd.it/b8wK,4.5
2018-05-20,Sing Street,2016,https://boxd.it/cOo6,4.5
2018-05-20,Groundhog Day,1993,https://boxd.it/2b3e,4.5
